"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"126",6,2013,1,26,"2013-01-26",558,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,999.9,0,0,1,0,0,0
"127",5,2015,1,23,"2015-01-23",598,31.6,20.4,1022.8,10,10.4,15.9,999.9,39,27,0.09,999.9,0,0,0,0,0,0
"128",1,2013,1,14,"2013-01-14",542,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,999.9,1,0,0,0,0,0
"129",4,2014,1,30,"2014-01-30",657,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,999.9,0,0,0,0,0,0
"130",4,2021,1,21,"2021-01-21",251,30.9,20.6,1010.2,10,10.4,17.1,22.9,41,19.9,0,999.9,0,0,0,0,0,0
"131",4,2019,1,17,"2019-01-17",586,29.4,15,1024.6,10,11.2,17.1,25.1,43,19,0,999.9,0,0,0,0,0,0
"132",4,2018,1,25,"2018-01-25",602,28,12.4,1021.1,10,13.2,17.1,24.1,44.1,23,0,999.9,0,0,0,0,0,0
"133",7,2016,1,31,"2016-01-31",532,45,39,1014.8,8.6,12.5,17.1,24.1,50,34,0,999.9,0,0,0,0,0,0
"134",2,2020,1,28,"2020-01-28",404,39.4,28.8,1005.1,10,9.8,17.1,21,45,36,0,999.9,0,0,0,0,0,0
"135",3,2022,1,26,"2022-01-26",265,31.3,15.1,1021.4,10,13,17.1,22.9,48.9,26.1,0,999.9,0,0,0,0,0,0
"136",6,2017,1,21,"2017-01-21",475,42.3,37.5,1011.3,6.7,7.5,17.1,20,46,37,0,999.9,1,1,0,0,0,0
"137",4,2021,1,7,"2021-01-07",285,36.5,26.1,1012.8,10,11.9,17.1,22,41,33.1,0,999.9,0,0,0,0,0,0
"138",7,2018,1,14,"2018-01-14",494,27,21.7,1028.8,10,14.5,17.1,25.1,30.9,24.8,0.01,999.9,0,0,0,0,0,0
"139",3,2020,1,29,"2020-01-29",495,35.3,22.5,1013.1,10,12.9,17.1,22.9,43,30,0,999.9,0,0,0,0,0,0
"140",7,2019,1,27,"2019-01-27",445,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,0,1,0,0,0
"141",3,2021,1,20,"2021-01-20",253,34.7,25.5,1013,9.5,9.2,17.1,21,41,28.9,0.01,999.9,1,0,0,0,1000,1000
"142",6,2015,1,3,"2015-01-03",456,34.5,19.8,1033.9,9.5,11.1,17.1,26,45,30,0,999.9,0,1,1,0,0,0
"143",2,2016,1,26,"2016-01-26",734,42.2,36.4,1021.5,9.1,11.1,17.1,999.9,48.2,28.9,0,999.9,0,0,0,0,0,0
"144",5,2016,1,1,"2016-01-01",393,41.2,28,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,1,0,0,0,0
"145",4,2022,1,27,"2022-01-27",270,25.5,12.9,1029.6,10,9.8,17.1,25.1,34,21.9,0,999.9,0,0,0,0,0,0
"146",2,2013,1,8,"2013-01-08",513,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48,25,0,999.9,0,0,0,0,0,0
"147",1,2014,1,27,"2014-01-27",511,38.8,32.3,1008,8.8,12.3,17.1,22.9,45,21,0,999.9,0,0,0,0,0,0
"148",5,2020,1,10,"2020-01-10",522,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50,21,0,999.9,0,0,0,0,0,0
"149",6,2015,1,10,"2015-01-10",481,26.9,10,1025,10,10.2,17.1,22,30,21.9,0,999.9,0,0,0,0,0,0
"150",1,2013,1,7,"2013-01-07",521,35.9,31,1020.5,8.8,8.5,17.1,22,42.1,28,0.01,999.9,0,0,0,0,0,0
"151",4,2015,1,15,"2015-01-15",548,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28,0.03,999.9,0,1,1,0,0,0
"152",3,2016,1,6,"2016-01-06",625,33.5,19.3,1033.1,10,8.3,17.1,999.9,45,21,0,999.9,0,0,0,0,0,0
"153",4,2022,1,6,"2022-01-06",232,45.9,37.8,1008.6,8.2,10.8,17.1,24.1,53.1,37,0.68,999.9,1,0,0,0,0,10000
"154",6,2020,1,18,"2020-01-18",774,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19,0,999.9,1,0,0,0,1000,1000
"155",2,2014,1,28,"2014-01-28",504,22.2,-1.3,1020.6,10,10.7,17.1,25.1,45,17.1,0,999.9,0,0,0,0,0,0
"156",3,2014,1,8,"2014-01-08",616,18.2,5,1028.1,10,12,17.1,26,34,12,0,999.9,0,0,0,0,0,0
"157",7,2022,1,16,"2022-01-16",266,25.2,14.5,1027.2,10,9,17.1,22,35.1,15.1,0,999.9,0,0,0,0,0,0
"158",5,2019,1,4,"2019-01-04",598,39,30.2,1014.4,9.8,9.9,18.1,26,46.9,30.9,0.01,999.9,0,0,0,0,0,0
"159",6,2021,1,9,"2021-01-09",244,32.9,26.8,1008,9.7,11.8,18.1,26,37,24.1,0,999.9,1,0,0,0,1000,1000
"160",7,2014,1,5,"2014-01-05",320,37.8,33.5,1026,9,8.6,18.1,25.1,42.1,27,0,999.9,0,0,0,0,0,0
"161",5,2019,1,11,"2019-01-11",644,28.6,13.4,1013.9,10,14.2,18.1,26,37,26.1,0,999.9,0,0,0,0,0,0
"162",7,2022,1,23,"2022-01-23",227,33.6,22.7,1014.2,10,10.8,18.1,21,39.9,25,0,999.9,0,0,0,0,0,0
"163",7,2018,1,28,"2018-01-28",412,43.4,43.2,1025.3,4.4,9.5,18.1,999.9,46,28.9,0.01,999.9,1,1,0,0,0,0
"164",4,2017,1,26,"2017-01-26",563,44.3,39.9,997.4,9,9.7,18.1,24.1,50,37.9,0.02,999.9,0,1,0,0,0,0
"165",7,2017,1,1,"2017-01-01",485,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,1,0,0,0,0
"166",6,2018,1,27,"2018-01-27",510,36.8,30.7,1034.3,10,12.2,18.1,24.1,46,17.1,0,999.9,0,0,0,0,0,0
"167",1,2020,1,27,"2020-01-27",452,40.1,33.8,1004.3,10,10.5,18.1,24.1,51.1,36,0.01,999.9,0,0,0,0,0,0
"168",3,2022,1,19,"2022-01-19",252,35.5,20.7,1020.2,9.6,11.4,18.1,27,48.9,18,0,999.9,0,0,0,0,0,0
"169",7,2021,1,10,"2021-01-10",177,35.6,29.2,1016.4,9.3,13.8,18.1,22.9,39,27,0,999.9,1,0,0,0,1000,1000
"170",3,2018,1,31,"2018-01-31",596,25,14.8,1019.2,10,13.1,18.1,25.1,37,19.9,0.18,999.9,0,0,0,0,0,0
"171",4,2013,1,3,"2013-01-03",549,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,999.9,0,0,0,0,0,0
"172",1,2018,1,1,"2018-01-01",453,9.5,-0.5,1022.2,10,15,18.1,25.1,21,5,0,999.9,0,0,0,0,0,0
"173",6,2017,1,14,"2017-01-14",495,29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,999.9,0,0,0,0,0,0
"174",1,2017,1,9,"2017-01-09",669,18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,999.9,0,0,0,0,0,0
"175",6,2016,1,2,"2016-01-02",422,37.7,22.9,1014.3,10,12.5,19,25.1,44.1,34,0.03,999.9,0,0,0,0,0,0
"176",1,2019,1,28,"2019-01-28",565,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,0,0,0,0,0
"177",2,2017,1,31,"2017-01-31",571,28.1,14.6,1013.1,8.2,9.8,19,28,39.9,21.9,0,999.9,1,0,1,0,0,0
"178",2,2019,1,8,"2019-01-08",571,36.3,30.8,1025.7,6.7,9.3,19,999.9,46.9,21.9,0,999.9,1,1,0,0,0,0
"179",3,2013,1,30,"2013-01-30",497,45.1,44,1013.9,4.4,12.4,19,25.1,48.2,37,0.03,999.9,1,1,0,0,0,0
"180",5,2015,1,2,"2015-01-02",442,40.4,21.5,1018.3,10,13.1,19,31.1,45,28,0,999.9,0,0,0,0,0,0
"181",5,2018,1,12,"2018-01-12",704,43.7,43.7,1021.7,5.6,13.4,19,27,48,30.9,0,999.9,1,1,0,0,0,0
"182",3,2019,1,16,"2019-01-16",579,31.3,23.1,1017.3,9.8,9.1,19,26,43,19,0,999.9,0,0,0,0,0,0
"183",7,2018,1,7,"2018-01-07",475,9.3,-0.5,1028.3,10,12.7,19,27,19.9,1.9,0,999.9,0,0,0,0,0,0
"184",6,2019,1,12,"2019-01-12",520,23.1,3.7,1029,10,12.9,19,28,32,18,0,999.9,0,0,0,0,0,0
"185",6,2014,1,18,"2014-01-18",448,38.8,35.8,1009.2,8.7,7.9,19,28,44.1,28,0,999.9,0,1,0,0,0,0
"186",3,2017,1,18,"2017-01-18",549,41.6,38.5,1015.9,4.5,13.8,19,24.1,44.1,36,0.26,999.9,0,1,0,0,0,0
"187",4,2014,1,23,"2014-01-23",612,16.5,5.1,1014.4,9.7,11.1,19,24.1,28.9,9,0,999.9,0,0,1,0,0,0
"188",7,2017,1,15,"2017-01-15",490,33.6,24.8,1025.3,9,10.8,19,22.9,36,25,0.01,999.9,0,0,1,0,0,0
"189",4,2017,1,12,"2017-01-12",646,47.8,45.5,1021.7,5.4,12.6,19,24.1,53.1,42.1,0.42,999.9,0,1,0,0,0,0
"190",2,2018,1,16,"2018-01-16",617,32.3,28.9,1032,8.2,8.8,19,26,37.9,28,0,999.9,0,0,1,0,0,0
